correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
RbV_Cl3,5.693,5.022751295,-1.354225988,-1.644245528,13.34425429
AuCdCl3,4.621,5.160815199,0.073162276,-0.373188442,-10.45988237
AgCdCl3,4.621,5.179397429,-0.215003628,-0.694332622,-10.78112728
CsHgF3,5.153,4.671668601,-1.982534404,-2.18371774,10.30320085
PtCuF3,4.5459,4.024857326,-0.387921486,-0.724514352,12.94561849
CsBeF3,3.575,4.022465069,-2.107217564,-2.70320929,-11.12415052
TlCdI3,4.621,5.937197071,2.72190673,-0.534410866,-22.16866065
K_V_Cl3,5.693,4.985425908,-1.303343712,-1.622517072,14.19285142
CuMnCl3,4.393,4.903872237,-0.222209826,-0.540475592,-10.41773138
PtLiCl3,5.1459,4.604480184,0.011435302,-0.168256466,11.75854373
AgTiCl3,5.433,4.909220187,-0.78113858,-1.000249656,10.66930781
