,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
402,NaYbCl3,1725950,-2.31288173,-2.078794286,-2.3099942860000002,pp_match,Non-magnetic
403,NaYbF3,1706395,-3.68352005,-3.5419971360000004,-3.702397136,pp_match,Non-magnetic
404,NaZnCl3,1725951,-1.47109433,-1.2119387920000002,-1.443138792,pp_match,Non-magnetic
405,NaZnF3,1345861,-2.69850193,-2.4870928159999997,-2.6474928159999997,pp_match,Non-magnetic
406,NdLiF3,1713546,-3.2637507,-3.1076711460000004,-3.2498711460000003,pp_match,Magnetic
407,PbAgF3,1726023,-1.56622508,-1.388591292,-1.530791292,pp_match,Non-magnetic
408,PbLiCl3,1726025,-1.44968071,-1.217671556,-1.4306715559999996,pp_match,Non-magnetic
409,PbLiF3,1710711,-2.78381985,-2.6115941920000005,-2.7537941920000004,pp_match,Non-magnetic
410,PbRbF3,686127,-1.83741161,-1.670350714,-1.812550714,pp_match,Non-magnetic
411,RbAgBr3,1431758,-1.08314886,-0.8880179990000001,-1.0614179990000001,pp_match,Non-magnetic
412,RbAgCl3,1432183,-1.27820152,-1.0476779689999995,-1.2606779689999996,pp_match,Non-magnetic
413,RbAgI3,1718004,-0.77435626,-0.6508445260000002,-0.749844526,pp_match,Non-magnetic
414,RbBaBr3,1722767,-2.1246195,-1.946592834,-2.119992834,pp_match,Non-magnetic
415,RbBaCl3,1348737,-2.40844509,-2.194760448,-2.407760448,pp_match,Non-magnetic
416,RbBaF3,1388074,-3.45329474,-3.322325768,-3.4645257679999997,pp_match,Non-magnetic
417,RbBaI3,1722731,-1.68494396,-1.5809986660000002,-1.679998666,pp_match,Non-magnetic
418,RbCF3,1713246,-1.03524858,-0.8792927980000003,-1.0214927980000001,pp_match,Non-magnetic
419,RbCI3,1711979,0.27904229,0.37891920200000007,0.27991920199999987,pp_match,Non-magnetic
420,RbCaBr3,1385570,-2.14008351,-1.949522022,-2.122922022,pp_mismatch,Non-magnetic
421,RbCaCl3,1348396,-2.46878643,-2.24036102,-2.45336102,pp_mismatch,Non-magnetic
422,RbCaF3,1345106,-3.70971769,-3.526736660000001,-3.668936660000001,pp_mismatch,Non-magnetic
423,RbCdBr3,1711957,-1.40145189,-1.190198508,-1.3635985080000004,pp_match,Non-magnetic
424,RbCdCl3,1346263,-1.661912,-1.416814162,-1.6298141619999997,pp_match,Non-magnetic
425,RbCdF3,646369,-2.68020515,-2.488765586,-2.630965586,pp_match,Non-magnetic
426,RbCdI3,1709291,-0.99718494,-0.8620681619999999,-0.9610681620000001,pp_match,Non-magnetic
