,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
222,InRhBr3,1728489,-0.51222803,-0.3005330639999997,-0.4739330639999997,pp_mismatch,Magnetic
223,InRhCl3,1728507,-0.72103407,-0.4764260939999998,-0.6894260939999999,pp_mismatch,Magnetic
224,InRhF3,1728502,-1.52602932,-1.3144690399999996,-1.4566690399999995,pp_mismatch,Magnetic
225,InSmBr3,1728495,-1.34227806,-1.1269247519999999,-1.3003247519999999,pp_match,Magnetic
226,InSmCl3,1711943,-1.65969378,-1.4085596299999996,-1.6215596299999997,pp_match,Magnetic
227,InSmF3,1718054,-3.03718912,-2.822128714,-2.964328714,pp_match,Magnetic
228,InSnBr3,1711892,-0.87633353,-0.6254883039999997,-0.8212883039999999,pp_match,Non-magnetic
229,InSnCl3,1711906,-1.10647458,-0.8191907079999998,-1.054590708,pp_match,Non-magnetic
230,InSnF3,1718053,-2.13594455,-1.8815383800000003,-2.04613838,pp_match,Non-magnetic
231,InSrF3,1713552,-3.09641121,-2.8813998460000003,-3.023599846,pp_match,Non-magnetic
232,InTbCl3,1538890,-1.52498831,-1.4072719820000001,-1.6202719820000002,pp_match,Magnetic
233,InTiF3,1718048,-2.53203809,-2.3202575120000004,-2.475257512,pp_mismatch,Magnetic
234,InTmCl3,1711937,-1.6273505,-1.3904885839999999,-1.603488584,pp_match,Magnetic
235,InTmF3,1720356,-3.06811039,-2.8639552700000004,-3.0061552700000003,pp_match,Magnetic
236,InVBr3,1728501,-0.83425269,-0.6485028839999996,-0.8219028839999996,pp_mismatch,Magnetic
237,InVCl3,1575955,-1.14944521,-0.9294091139999998,-1.142409114,pp_mismatch,Magnetic
238,InVF3,1709225,-2.3269948,-2.138272474,-2.2804724739999997,pp_mismatch,Magnetic
239,InYbBr3,1711880,-1.67309164,-1.4610356579999997,-1.6344356579999997,pp_match,Non-magnetic
240,InYbCl3,1711940,-2.01344919,-1.7668232540000002,-1.9798232540000003,pp_match,Non-magnetic
241,InYbF3,1711955,-3.37377323,-3.17160012,-3.31380012,pp_match,Non-magnetic
242,InZnCl3,1725986,-1.14093241,-0.8683729599999999,-1.08137296,pp_match,Non-magnetic
243,InZnF3,1710674,-2.24049812,-2.0000214140000003,-2.142221414,pp_match,Non-magnetic
244,KAgBr3,1428408,-1.05288754,-0.8524126689999998,-1.0258126689999998,pp_match,Non-magnetic
245,KAgF3,1706400,-2.07216145,-1.8831137400000002,-2.02531374,pp_match,Non-magnetic
246,KBaCl3,1385431,-2.3579622,-2.1376232339999994,-2.3506232339999995,pp_match,Non-magnetic
247,KBaF3,1347875,-3.41027622,-3.2229413460000007,-3.3651413460000006,pp_match,Non-magnetic
248,KCCl3,1731056,-0.17393173,0.04280569600000028,-0.1701943039999998,pp_match,Non-magnetic
249,KCF3,1713238,-1.09815801,-0.9146299020000006,-1.0568299020000005,pp_match,Non-magnetic
250,KCaBr3,1346959,-2.09967707,-1.903252202,-2.076652202,pp_mismatch,Non-magnetic
251,KCaCl3,1384250,-2.43054564,-2.1963432560000005,-2.409343256,pp_mismatch,Non-magnetic
252,KCaF3,19784,-3.68525383,-3.473412052,-3.615612052,pp_mismatch,Non-magnetic
