,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
195,CsK_AgSbF6,6.443722676,6.590148698,-2.46300526,Cs,K,Ag,Sb,F,-2.221892536
196,CsK_AlAgCl6,7.177699514,7.25469608,-1.705545124,Cs,K,Al,Ag,Cl,-1.061334137
197,CsK_AsRbF6,6.643126788,6.71364908,-2.716325048,Cs,K,As,Rb,F,-1.050431608
198,CsK_BaPtF6,6.560466005,6.76643173,-2.605972249,Cs,K,Ba,Pt,F,-3.043934133
199,CsK_BeBaCl6,6.974830579,7.525597566,-2.023664088,Cs,K,Be,Ba,Cl,-7.318581444
200,CsK_BeBaF6,6.211155255,6.219265901,-3.267893582,Cs,K,Be,Ba,F,-0.130411629
201,CsK_BeSnF6,6.003265862,6.037636246,-2.826488669,Cs,K,Be,Sn,F,-0.569268876
202,CsK_BeSrCl6,6.85603664,7.329894509,-2.036901187,Cs,K,Be,Sr,Cl,-6.464729723
203,CsK_BeSrF6,6.065491258,6.035453208,-3.316243547,Cs,K,Be,Sr,F,0.497693362
204,CsK_CaCdCl6,7.202518962,7.58396947,-2.043366533,Cs,K,Ca,Cd,Cl,-5.029694667
205,CsK_CaCdF6,6.416216222,6.390177771,-3.152099959,Cs,K,Ca,Cd,F,0.40747616
206,CsK_CaCoF6,6.147515645,6.153697144,-2.997701179,Cs,K,Ca,Co,F,-0.100451791
207,CsK_CaCrF6,6.172971489,6.220593218,-3.14798783,Cs,K,Ca,Cr,F,-0.76554964
208,CsK_CaCuF6,6.107917665,6.151771151,-2.917634062,Cs,K,Ca,Cu,F,-0.712859515
209,CsK_CaFeF6,6.156000926,6.194236,-3.065559842,Cs,K,Ca,Fe,F,-0.617268603
210,CsK_CaMnCl6,7.092210305,7.438110243,-2.062555205,Cs,K,Ca,Mn,Cl,-4.650373908
211,CsK_CaPdF6,6.24085374,6.305820851,-2.781294343,Cs,K,Ca,Pd,F,-1.03027207
