,correct_formula,A,A',B,B',X,lat_bvm,lat_opt,lat_err,hf_opt,pbe_bg
403,CsRbMnBaF6,Cs,Rb,Mn,Ba,F,6.707544216,6.651543229,0.841924724,-3.14818921,2.110647
404,CsRbMnCdCl6,Cs,Rb,Mn,Cd,Cl,6.882906697,7.365002236,-6.54576229,-1.666534055,1.156104
405,CsRbMnCdF6,Cs,Rb,Mn,Cd,F,6.370961388,6.260332948,1.767133488,-2.715308908,1.238397
406,CsRbMnCoCl6,Cs,Rb,Mn,Co,Cl,6.915433609,7.107247876,-2.698854329,-1.460658299,0
407,CsRbMnCuF6,Cs,Rb,Mn,Cu,F,6.187750021,6.024080314,2.716924385,-2.563844493,0
408,CsRbMnPbBr6,Cs,Rb,Mn,Pb,Br,7.452834763,8.041109533,-7.315840775,-1.417635506,1.635872
409,CsRbMnPbF6,Cs,Rb,Mn,Pb,F,6.512382744,6.494179814,0.280296058,-2.749385555,2.366367
410,CsRbMnPtCl6,Cs,Rb,Mn,Pt,Cl,6.922504677,7.165550454,-3.391864708,-1.383081342,0.07456
411,CsRbMnPtF6,Cs,Rb,Mn,Pt,F,6.167314635,6.201275814,-0.547648258,-2.25441857,0
412,CsRbMnSnBr6,Cs,Rb,Mn,Sn,Br,7.346768746,7.976346944,-7.893064362,-1.389297259,1.271079
413,CsRbMnSnCl6,Cs,Rb,Mn,Sn,Cl,7.147293923,7.575242055,-5.64929977,-1.66226056,1.516674
414,CsRbMnSnF6,Cs,Rb,Mn,Sn,F,6.395003018,6.432305224,-0.579919713,-2.725591766,2.243797
415,CsRbNaAuBr6,Cs,Rb,Na,Au,Br,7.791468201,7.898825916,-1.359160414,-1.229133575,0
416,CsRbNaCoF6,Cs,Rb,Na,Co,F,6.115625129,6.155109328,-0.641486558,-2.661789988,0.001335
417,CsRbNaFeCl6,Cs,Rb,Na,Fe,Cl,7.296493454,7.385545486,-1.205761066,-1.703071663,0.826459
418,CsRbNaGaF6,Cs,Rb,Na,Ga,F,6.115625129,6.160140922,-0.722642445,-3.020773682,5.812385
419,CsRbNaInCl6,Cs,Rb,Na,In,Cl,7.485998071,7.560056657,-0.979603584,-1.861172066,2.980492
420,CsRbNaNiF6,Cs,Rb,Na,Ni,F,6.067541868,6.116060846,-0.793304371,-2.581841158,0.000511
421,CsRbNaScCl6,Cs,Rb,Na,Sc,Cl,7.576507739,7.498891269,1.035039277,-2.286245044,3.913289
422,CsRbNbAgBr6,Cs,Rb,Nb,Ag,Br,7.709443814,7.824550054,-1.471090851,-1.275859909,0.014235
423,CsRbNiBaBr6,Cs,Rb,Ni,Ba,Br,8.249036999,8.095534013,1.896144044,-1.602078965,0.8279
424,CsRbNiPbBr6,Cs,Rb,Ni,Pb,Br,7.913868384,7.879757467,0.432892981,-1.248344269,0.071115
425,CsRbNiSrBr6,Cs,Rb,Ni,Sr,Br,7.980336422,7.906467251,0.934287953,-1.600474737,0.786078
426,CsRbNiSrCl6,Cs,Rb,Ni,Sr,Cl,7.505160665,7.484353396,0.278010242,-1.895422681,1.056683
427,CsRbPdCdF6,Cs,Rb,Pd,Cd,F,6.3200497,6.313057419,0.110759027,-2.29931922,0.013864
428,CsRbPdPbCl6,Cs,Rb,Pd,Pb,Cl,7.567386062,7.552206891,0.200989872,-1.464579565,0.030681
429,CsRbPdPbF6,Cs,Rb,Pd,Pb,F,6.452985774,6.529368687,-1.169836115,-2.341861759,0
430,CsRbPdPtCl6,Cs,Rb,Pd,Pt,Cl,7.080896596,7.131408119,-0.708296625,-1.265681753,0.033135
431,CsRbPtPbCl6,Cs,Rb,Pt,Pb,Cl,7.567386062,7.566008348,0.018209258,-1.382677767,0
432,CsRbRhAgF6,Cs,Rb,Rh,Ag,F,6.303715533,6.297862874,0.092930874,-2.226098717,1.462908
433,CsRbRuAgF6,Cs,Rb,Ru,Ag,F,6.730808029,6.329110141,6.346830424,-2.21310731,0
434,CsRbSbAuCl6,Cs,Rb,Sb,Au,Cl,7.423772674,7.617034664,-2.537233957,-1.378104725,0.385967
435,CsRbSnPbF6,Cs,Rb,Sn,Pb,F,6.677845731,6.828480658,-2.205980137,-2.683613568,2.297006
436,CsRbSnPtBr6,Cs,Rb,Sn,Pt,Br,7.756890679,7.843290276,-1.10157337,-1.168886421,0
437,CsRbSnPtF6,Cs,Rb,Sn,Pt,F,6.281865933,6.532704835,-3.839740327,-2.221119526,0.084242
438,CsRbSrPdCl6,Cs,Rb,Sr,Pd,Cl,7.541930217,7.604487919,-0.822641875,-1.803132966,0
439,CsRbSrPtBr6,Cs,Rb,Sr,Pt,Br,7.980336422,8.042378333,-0.771437359,-1.485090843,0.280984
440,CsRbSrPtF6,Cs,Rb,Sr,Pt,F,6.375204028,6.568017405,-2.93564047,-2.681902907,1.340865
441,CsRbSrSnCl6,Cs,Rb,Sr,Sn,Cl,7.998650487,8.037184011,-0.479440609,-2.046032038,3.610612
442,CsRbSrSnF6,Cs,Rb,Sr,Sn,F,6.665117809,6.784412704,-1.758367308,-3.133896614,3.937049
443,CsRbTiAgCl6,Cs,Rb,Ti,Ag,Cl,7.361547278,7.359601471,0.026439027,-1.746899455,0.001339
444,CsRbTiBaF6,Cs,Rb,Ti,Ba,F,7.199690535,6.637643211,8.467573597,-3.253739251,0
445,CsRbTiCdF6,Cs,Rb,Ti,Cd,F,6.806539165,6.878036521,-1.039502419,-2.981843771,0.96578
446,CsRbTiCrCl6,Cs,Rb,Ti,Cr,Cl,7.355254027,7.228552307,1.75279523,-1.713184496,0
447,CsRbTiFeCl6,Cs,Rb,Ti,Fe,Cl,7.324141329,7.126577612,2.772210278,-1.648623918,0
448,CsRbTiMnCl6,Cs,Rb,Ti,Mn,Cl,7.072411315,7.195270665,-1.707501437,-1.758367728,0.014191
449,CsRbTiMnF6,Cs,Rb,Ti,Mn,F,6.659460955,6.069456753,9.720873317,-2.868122552,0
450,CsRbTiNiF6,Cs,Rb,Ti,Ni,F,6.424701503,6.074323833,5.768175679,-2.739705662,0
451,CsRbTiPbCl6,Cs,Rb,Ti,Pb,Cl,7.912454171,7.638970385,3.580113186,-1.754951051,0.005061
452,CsRbTiSrBr6,Cs,Rb,Ti,Sr,Br,8.376316219,8.039299013,4.192121794,-1.833034059,0.016769
453,CsRbTiSrF6,Cs,Rb,Ti,Sr,F,6.96351687,6.435290094,8.208282273,-3.304017261,0
454,CsRbV_AgF6,Cs,Rb,V,Ag,F,6.298058679,6.292201429,0.093087452,-2.708677914,0
455,CsRbV_BaCl6,Cs,Rb,V,Ba,Cl,8.31691925,7.766175069,7.091575661,-2.078748201,1.305258
