Compound,pbe_gap,hse06_gap
Cs2BeBaBr6,3.72482,4.6774000000000004
CsRbBeSnF6,4.293425,5.3739
CsK_BeCaF6,7.080974,8.8864
RbK_MgSnF6,4.178219,5.276
Cs2CuPbBr6,0.09743,0.0
Rb2MgCdF6,4.958087,6.9927
Cs2CuBaBr6,0.060692,0.0
Rb2CuSrF6,0.001533,0.0
Cs2AgSbCl6,1.494911,2.1754
Cs2K_AuBr6,0.0,0.0
RbK_AgAuF6,0.0,0.0
CsRbCaCuF6,0.001969,0.0
CsRbK_AuCl6,0.011059,0.0
RbK_CuGaF6,0.215881,2.3427
RbK_BeSrF6,6.515467,8.5775
CsK_BeBaCl6,4.617655,5.864
K_2CuSbF6,0.881319,2.1681999999999997
RbK_AlCsF6,5.743402,7.5991
RbK_MgCuF6,0.0,0.0
Rb2PdPbF6,0.0,0.4235
RbK_CaPbF6,4.88006,6.1693
Cs2K_InCl6,3.463792,4.7919
Rb2LiInF6,5.239659,7.3479
RbK_PdCdF6,0.011569,0.0
RbK_CaSnF6,4.015938,4.963299999999999
K_BaNaCuF6,0.0,5.2083
Cs2PdPbBr6,0.0,0.0
Rb2BePbF6,5.080001,6.292599999999999
Cs2GaRbCl6,3.332762,4.6399
Cs2CuSrCl6,0.040047,0.0
Rb2CaCdF6,5.006338,6.914
Cs2RbInF6,5.376666,7.2291
RbK_BeBaCl6,4.5242,5.611
K_2NaAlF6,6.863689,9.0669
Cs2CuSbF6,1.187772,2.7550000000000003
CsRbNaGaF6,5.812385,8.0467
Cs2CaSrCl6,5.133245,6.3908000000000005
CsRbCaSnCl6,3.65836,4.403
CsK_RhAuCl6,0.089548,1.0297
RbK_ZnBaF6,4.522228,6.526199999999999
Cs2MgCuF6,0.01179,0.5528000000000001
Cs2CaCuF6,0.001967,0.0
Rb2CuBiF6,0.967299,2.356
CsRbPdPbF6,0.0,0.0
CsRbCdPbBr6,1.89464,2.5101
RbK_CaCdCl6,3.892205,5.2786
CsBaNaPdF6,0.000582,0.28590000000000004
CsBaCuCdF6,0.081122,1.4466999999999999
Cs2SrBaF6,5.702077,7.581300000000001
RbK_CaCdF6,4.938972,6.9190000000000005
RbK_CuSnCl6,0.09074,0.0
CsRbLiAuCl6,0.020684,0.0
Cs2SnBaF6,3.723254,4.813899999999999
CsK_AlAgF6,3.278293,5.3681
RbBaLiSrF6,6.239341,8.0182
CsK_NaBiBr6,3.087467,3.8494
RbBaZnAgF6,1.880079,3.7707
CsRbBeBaF6,6.367998,8.2638
CsRbMgCdCl6,2.697492,4.1288
Rb2CaCuF6,0.001989,0.0
