,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
69,CsCrI3,1432912,-0.90191783,-0.29256049300000075,-0.3915604930000005,-0.41016049300000024,0.4917573369999998
70,CsCuBr3,1709212,-1.08760139,-0.9207400319999999,-1.094140032,-1.1079400320000001,-0.02033864200000024
71,CsCuCl3,1575757,-1.3048979,-1.1030865339999996,-1.3160865339999996,-1.3310865339999998,-0.02618863399999971
72,CsCuF3,1576135,-2.20542233,-2.040699824,-2.1828998239999997,-2.197899824,0.007522506000000373
73,CsCuI3,1722739,-0.75009369,-0.658465386,-0.7574653859999998,-0.7682653859999999,-0.018171695999999904
74,CsDyBr3,1706422,-1.81680469,-1.6318752179999998,-1.805275218,-1.8062752180000001,0.010529471999999984
75,CsDyF3,1706460,-3.21714358,-3.0315272859999993,-3.173727285999999,-3.1759272859999994,0.04121629400000071
76,CsDyI3,1706396,-1.36848102,-1.259258236,-1.3582582359999997,-1.356258236,0.012222783999999987
77,CsEuBr3,1386802,-2.27297156,-2.8105635820000003,-2.9839635820000003,-3.0325635820000003,-0.7595920220000005
78,CsEuCl3,6025,-2.59957464,-3.9291578019999998,-4.142157802,-4.191957801999999,-1.592383161999999
79,CsEuI3,1706456,-1.79026027,-3.28918274,-3.38818274,-3.43378274,-1.6435224699999997
80,CsFeBr3,1575236,-1.1240797,-0.9386968540000002,-1.1120968540000002,-1.086496854,0.03758284600000006
81,CsFeCl3,1709267,-1.41201271,-1.19041073,-1.40341073,-1.3790107299999996,0.03300198000000032
82,CsFeI3,1711863,-0.69998059,-0.5902365140000003,-0.6892365140000001,-0.6606365140000001,0.039344075999999895
83,CsGdBr3,1706405,-1.83867555,-3.6032500800000005,-3.7766500800000005,-3.7766500800000005,-1.9379745300000004
84,CsGdCl3,1706452,-2.14953699,-3.87256451,-4.08556451,-4.08676451,-1.93722752
85,CsGdF3,1706462,-3.22531254,-4.969911136,-5.112111135999999,-5.113311136,-1.887998596
86,CsGeBr3,14503,-1.31213636,-1.1220880939999995,-1.295488094,-1.3284880939999997,-0.016351733999999674
87,CsGeCl3,1706432,-1.54889686,-1.3225172059999997,-1.5355172059999997,-1.5697172059999998,-0.020820345999999823
88,CsGeF3,1709200,-2.57756861,-2.384576206,-2.526776206,-2.5609762059999994,0.016592404000000727
89,CsGeI3,1706397,-0.93535493,-0.8208284199999998,-0.9198284199999998,-0.9498284199999996,-0.014473489999999534
90,CsHgBr3,4639,-1.17758174,-0.9893896739999997,-1.147189674,-1.160189674,0.017392065999999984
91,CsHgCl3,1383702,-1.37405126,-1.1476473379999999,-1.345047338,-1.359247338,0.014803922000000025
92,CsHgF3,3031,-2.21662355,-2.019588,-2.1461880000000004,-2.160388,0.0562355499999998
93,CsHgI3,1706430,-0.85232586,-0.74193416,-0.8253341599999999,-0.8353341599999999,0.016991700000000054
94,CsLaBr3,1711877,-1.90841958,-1.7279273500000003,-1.9013273500000005,-1.9091273500000003,-0.0007077700000004405
95,CsLaCl3,1709262,-2.19835446,-1.9820164800000004,-2.1950164800000005,-2.2040164800000004,-0.005662020000000378
96,CsMgBr3,1709208,-1.80672158,-1.6288616879999998,-1.802261688,-1.839861688,-0.033140108
97,CsMgCl3,1709269,-2.14159644,-1.9263025099999997,-2.13930251,-2.17810251,-0.03650607000000017
98,CsMgF3,646366,-3.40771293,-3.215682868,-3.357882868,-3.396682868,0.011030062000000118
