compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
RbNdBr3,1714548,-1.80322795,-1.61636857,-1.78976857,-1.80976857,-0.00654062
InPrBr3,1728477,-1.3465109,-1.13733994,-1.31073994,-1.35293994,-0.00642904
KGeBr3,1575382,-1.23143299,-1.031441462,-1.204841462,-1.237641462,-0.006208472
KGaBr3,1575353,-1.27776162,-1.072069334,-1.245469334,-1.283869334,-0.006107714
RbCF3,1713246,-1.03524858,-0.856482208,-0.998682208,-1.041282208,-0.006033628
RbMoCl3,1718074,-1.17469063,-0.974185354,-1.187185354,-1.180585354,-0.005894724
KNdI3,1722781,-1.31740947,-1.201693954,-1.300693954,-1.323293954,-0.005884484
CsMoI3,1718069,-0.55576935,-0.467495528,-0.566495528,-0.561495528,-0.005726178
CsLaCl3,1709262,-2.19835446,-1.98201648,-2.19501648,-2.20401648,-0.00566202
LiMnF3,1713247,-2.54629762,-2.356591694,-2.498791694,-2.551391694,-0.005094074
RbGaBr3,1543248,-1.3105318,-1.109317558,-1.282717558,-1.315517558,-0.004985758
RbGeBr3,1706478,-1.26864479,-1.073019066,-1.246419066,-1.273619066,-0.004974276
InMnCl3,1575943,-1.1721719,-0.924289774,-1.137289774,-1.176889774,-0.004717874
NaCrCl3,1725943,-1.44340377,-1.213119054,-1.444319054,-1.448119054,-0.004715284
RbNdI3,1709290,-1.36459031,-1.253257356,-1.352257356,-1.369257356,-0.004667046
KGeI3,1709298,-0.84497474,-0.720345198,-0.819345198,-0.849145198,-0.004170458
LiCaF3,1713422,-3.38316771,-3.178721194,-3.320921194,-3.387321194,-0.004153484
CsPrF3,1706464,-3.2157687,-3.034147554,-3.176347554,-3.219747554,-0.003978854
InMgCl3,1725954,-1.631548,-1.383651808,-1.596651808,-1.635451808,-0.003903808
RbPdI3,1722703,-0.81259372,-0.717579002,-0.816579002,-0.816379002,-0.003785282
RbGeI3,7217,-0.8852142,-0.765023816,-0.864023816,-0.888223816,-0.003009616
RbYI3,1711975,-1.33046037,-1.22758091,-1.32658091,-1.33338091,-0.00292054
CsZnBr3,1709210,-1.37284881,-1.167852904,-1.341252904,-1.375652904,-0.002804094
CsZnI3,1711870,-0.96216313,-0.833743216,-0.932743216,-0.964143216,-0.001980086
CsRhCl3,1549370,-1.20290089,-0.987425302,-1.200425302,-1.204225302,-0.001324412
CsCoI3,1711862,-0.6083221,-0.498580886,-0.597580886,-0.609580886,-0.001258786
CsLaBr3,1711877,-1.90841958,-1.72792735,-1.90132735,-1.90912735,-0.00070777
InMnBr3,1575536,-0.88079595,-0.669399506,-0.842799506,-0.881199506,-0.000403556
CsPtBr3,1709209,-0.99954874,-0.834309494,-1.007709494,-0.999109494,0.000439246
CsYF3,1713487,-3.22009499,-3.06038567,-3.20258567,-3.21938567,0.00070932
CsSrF3,646362,-3.65153321,-3.467474908,-3.609674908,-3.650274908,0.001258302
RbMoBr3,1718096,-0.90211766,-0.735214672,-0.908614672,-0.900814672,0.001302988
LiTmF3,1722756,-3.24262411,-3.06679835,-3.20899835,-3.24059835,0.00202576
InSmCl3,1711943,-1.65969378,-1.40855963,-1.62155963,-1.65715963,0.00253415
KZnCl3,1710675,-1.61670383,-1.365017076,-1.578017076,-1.613417076,0.003286754
RbCoCl3,1722733,-1.26470604,-1.037998944,-1.250998944,-1.261398944,0.003307096
InCuCl3,1549458,-0.82128177,-0.589968966,-0.802968966,-0.817968966,0.003312804
CsPtI3,1718049,-0.74809156,-0.657374208,-0.756374208,-0.744774208,0.003317352
KPtCl3,1722705,-1.1434146,-0.934381844,-1.147381844,-1.139781844,0.003632756
AgYbF3,1709258,-2.9961633,-2.798021628,-2.940221628,-2.992421628,0.003741672
KMoI3,1722780,-0.47178583,-0.373820532,-0.472820532,-0.467620532,0.004165298
KPrF3,1711910,-3.21682941,-3.027254784,-3.169454784,-3.212654784,0.004174626
