correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
HgCaI3,6.253,6.163275382,-0.811281882,-0.814819268,1.455794402
AgHgCl3,5.373,5.266737059,-0.340370732,-0.350291752,2.017623812
RbNiF3,4.005,4.140841054,-2.281110108,-2.316074678,-3.280518432
TlCaI3,6.253,6.142732106,-1.204134208,-1.210372538,1.795095278
AuFeCl3,4.933,4.818063218,-0.238363476,-0.253311034,2.385539101
AuNiF3,4.005,4.028322322,-1.159978688,-1.161041928,-0.578958686
RbCaCl3,5.553,5.422799361,-2.445520874,-2.457051764,2.400985733
HgMgF3,3.969,4.060831156,-2.55857048,-2.574411286,-2.261388186
AuSrI3,6.573,6.37523654,-0.406617394,-0.42223822,3.102056822
RbPbI3,6.313,6.37379807,-1.02458785,-1.026636816,-0.953875057
CuCrF3,4.153,4.032440334,-1.731951156,-1.75686922,2.989744572
K_ZnF3,4.053,4.131642285,-2.72471133,-2.735415162,-1.903414661
CuFeF3,4.113,4.038819552,-1.502347176,-1.512032786,1.836686365
TlCrF3,4.153,4.246855681,-2.250591726,-2.266574894,-2.210004014
TlCaF3,4.497,4.502814307,-3.240841816,-3.240885076,-0.129126067
CuMgI3,5.733,5.725990291,-0.12043472,-0.120465006,0.122419156
K_PbCl3,5.873,5.695320741,-1.589516822,-1.609400934,3.119741048
TlCuCl3,4.813,4.876239277,-0.893122762,-0.897647874,-1.296886256
LiCuF3,4.001,3.965735235,-2.107866568,-2.110008602,0.889236495
AuBaCl3,6.193,5.985097966,-1.046894186,-1.068105486,3.473661337
InBaF3,5.189,5.104178049,-2.90662875,-2.912978594,1.66181411
TlMgBr3,5.373,5.345322263,-1.3537642,-1.35441861,0.517793608
K_CaCl3,5.553,5.398154513,-2.398545424,-2.41456912,2.868489344
AuCoF3,4.093,4.046211839,-1.203196288,-1.207427626,1.15634482
LiZnBr3,5.113,5.218709783,-0.967054292,-0.977450428,-2.02559229
K_PdF3,4.293,4.298274833,-2.08343066,-2.083474218,-0.12271977
RbCaF3,4.497,4.506821156,-3.679891612,-3.680009616,-0.217917589
RbCrBr3,5.333,5.313735892,-1.290136684,-1.29047463,0.362534164
RbSnCl3,5.6148,5.599813967,-1.608111402,-1.608256424,0.267616622
